bill_id,bill_type,submit_diet_no,bill_no,bill_subject,status,submit_person,submit_parties,representatives_accept_date,representatives_finish_date,representatives_deliveration_result,councilors_accept_date,councilors_finish_date,councilors_deliveration_result,promulgation_date,body_link
0,衆法,207,2,揮発油等の価格の高騰から国民生活及び国民経済を守るための東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律及び地方税法の一部を改正する等の法律案,衆議院で審議中,足立　康史君外二名,日本維新の会; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705002.htm
1,衆法,207,3,現下の揮発油等の価格の高騰から国民生活及び国民経済を守るための揮発油税等に関する法律の臨時特例等に関する法律案,衆議院で審議中,末松　義規君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705003.htm
2,衆法,207,9,自衛隊法及び海上保安庁法の一部を改正する法律案,衆議院で審議中,前原　誠司君外二名,日本維新の会; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705009.htm
3,衆法,207,10,新型コロナウイルス感染症等の影響を受けた低所得者に対する特別給付金の支給に関する法律案,衆議院で審議中,中谷　一馬君外十三名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705010.htm
4,衆法,207,11,領域等の警備及び海上保安体制の強化に関する法律案,衆議院で審議中,篠原　豪君外十四名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705011.htm
5,衆法,208,3,新型コロナウイルス感染症等の影響を受けている中小事業者等に対する緊急の支援に関する法律案,衆議院で審議中,山岡　達丸君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805003.htm
6,衆法,208,6,新型コロナウイルス感染症等の影響を受けている観光関連事業者に対する緊急の支援に関する法律案,衆議院で審議中,小宮山　泰子君外七名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805006.htm
7,衆法,208,17,日本放送協会改革推進法案,衆議院で審議中,中司　宏君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805017.htm
8,衆法,208,18,特定土砂等の管理に関する法律案,衆議院で審議中,足立　康史君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805018.htm
9,衆法,208,19,土砂等の置場の確保に関する法律案,衆議院で審議中,足立　康史君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805019.htm
10,衆法,208,22,戦争等避難者に係る出入国管理及び難民認定法の特例等に関する法律案,衆議院で審議中,鈴木　庸介君外五名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805022.htm
11,衆法,208,23,所得税法等の一部を改正する法律の一部を改正する法律案,衆議院で審議中,末松　義規君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805023.htm
12,衆法,208,24,新型コロナウイルス感染症等の影響を受けている中小事業者に対する金融の円滑化の促進に関する法律案,衆議院で審議中,落合　貴之君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805024.htm
13,衆法,208,28,保育等従業者の人材確保のための処遇の改善等に関する特別措置法案,衆議院で審議中,岡本　あき子君外十二名,立憲民主党・無所属; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805028.htm
14,衆法,208,30,介護・障害福祉従事者の人材確保に関する特別措置法案,撤回,早稲田　ゆき君外十六名,立憲民主党・無所属,,2024-04-10,撤回許可,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805030.htm
15,衆法,208,32,現下の物価の高騰による国民生活及び国民経済への悪影響を緩和するために講ずべき国民負担の軽減等に関する措置に関する法律案,衆議院で審議中,足立　康史君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805032.htm
16,衆法,208,34,日本国憲法の改正手続に関する法律の一部を改正する法律案,衆議院で審議中,逢沢　一郎君外三名,自由民主党; 日本維新の会; 公明党; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805034.htm
17,衆法,208,35,自動車産業における脱炭素化の推進に関する法律案,衆議院で審議中,重徳　和彦君外十五名,立憲民主党・無所属; 国民民主党・無所属クラブ; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805035.htm
18,衆法,208,36,インターネット誹謗中傷対策の推進に関する法律案,衆議院で審議中,岩谷　良平君外四名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805036.htm
19,衆法,208,39,公職選挙法及び地方自治法の一部を改正する法律案,衆議院で審議中,落合　貴之君外四名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805039.htm
20,衆法,208,40,公職の候補者となる労働者の雇用の継続の確保のための立候補休暇に関する法律案,衆議院で審議中,落合　貴之君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805040.htm
21,衆法,208,44,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,衆議院で審議中,金子　恵美君外四名,立憲民主党・無所属; 国民民主党・無所属クラブ; 日本共産党; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805044.htm
22,衆法,208,45,国有林野事業に従事する職員の給与等に関する特例法案,衆議院で審議中,金子　恵美君外四名,立憲民主党・無所属; 国民民主党・無所属クラブ; 日本共産党; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805045.htm
23,衆法,208,46,中小企業正規労働者雇入臨時助成金の支給に関する法律案,衆議院で審議中,後藤　祐一君外八名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805046.htm
24,衆法,208,47,地方自治法の一部を改正する法律案,衆議院で審議中,中司　宏君外四名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805047.htm
25,衆法,208,48,政治資金規正法及び租税特別措置法の一部を改正する法律案,衆議院で審議中,落合　貴之君外四名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805048.htm
26,衆法,208,49,政治資金規正法の一部を改正する法律案,衆議院で審議中,落合　貴之君外四名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805049.htm
27,衆法,208,52,国家賠償法の一部を改正する法律案,衆議院で審議中,階　猛君外五名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805052.htm
28,衆法,208,53,民法の一部を改正する法律案,衆議院で審議中,枝野　幸男君外十一名,立憲民主党・無所属; 国民民主党・無所属クラブ; 日本共産党; れいわ新選組,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805053.htm
29,衆法,208,54,性暴力被害者の支援に関する法律案,衆議院で審議中,阿部　知子君外十一名,立憲民主党・無所属; 日本維新の会; 国民民主党・無所属クラブ; 日本共産党; れいわ新選組,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805054.htm
30,衆法,208,55,性的指向又は性自認を理由とする差別の解消等の推進に関する法律案,衆議院で審議中,大河原　まさこ君外十名,立憲民主党・無所属; 国民民主党・無所属クラブ; 日本共産党; れいわ新選組,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805055.htm
31,衆法,208,56,分散型エネルギー利用の促進に関する法律案,衆議院で審議中,山崎　誠君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805056.htm
32,衆法,208,57,国等によるその設置する施設の省エネルギー・再生可能エネルギー源利用改修等の実施等に関する法律案,衆議院で審議中,田嶋　要君外五名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805057.htm
33,衆法,208,58,多文化共生社会基本法案,衆議院で審議中,中川　正春君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805058.htm
34,衆法,208,59,消費税の減税その他の税制の見直しに関する法律案,衆議院で審議中,小川　淳也君外七名,立憲民主党・無所属; 日本共産党; れいわ新選組,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805059.htm
35,衆法,208,60,特定人権侵害行為への対処に関する法律案,衆議院で審議中,松原　仁君外五名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805060.htm
36,衆法,210,1,国会法の一部を改正する法律案,衆議院で審議中,笠　浩史君外七名,立憲民主党・無所属; 日本維新の会; 日本共産党; 有志の会; れいわ新選組,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005001.htm
37,衆法,210,2,国葬儀法案,衆議院で審議中,青柳　仁士君外三名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005002.htm
38,衆法,210,3,通園バスの車内における幼児等の置き去りによる事故の防止その他の認定こども園等における幼児等の安全の確保のための措置等に関する法律案,衆議院で審議中,青柳　仁士君外九名,立憲民主党・無所属; 日本維新の会; 日本共産党,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005003.htm
39,衆法,210,6,新型インフルエンザ等治療用特定医薬品の指定及び使用に関する特別措置法案,衆議院で審議中,早稲田　ゆき君外八名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005006.htm
40,衆法,210,7,防衛省の職員の給与等に関する法律の一部を改正する法律案,衆議院で審議中,三木　圭恵君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005007.htm
41,衆法,210,8,防衛省の職員の給与等に関する法律の一部を改正する法律案,衆議院で審議中,三木　圭恵君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005008.htm
42,衆法,210,11,障害者の日常生活及び社会生活を総合的に支援するための法律の一部を改正する法律案,衆議院で審議中,道下　大樹君外十名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005011.htm
43,衆法,210,13,国会議員の歳費、旅費及び手当等に関する法律等の一部を改正する法律案,衆議院で審議中,渡辺　周君外十一名,立憲民主党・無所属; 日本維新の会; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005013.htm
44,衆法,210,14,性をめぐる個人の尊厳が重んぜられる社会の形成に資するために性行為映像制作物への出演に係る被害の防止を図り及び出演者の救済に資するための出演契約等に関する特則等に関する法律の一部を改正する法律案,衆議院で審議中,堀場　幸子君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005014.htm
45,衆法,210,18,子育て・若者緊急支援法案,衆議院で審議中,青柳　仁士君外八名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21005018.htm
46,衆法,211,1,日本銀行法の一部を改正する法律案,衆議院で審議中,青柳　仁士君外三名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105001.htm
47,衆法,211,2,児童手当法の一部を改正する法律案,衆議院で審議中,早稲田　ゆき君外十名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105002.htm
48,衆法,211,3,民法の一部を改正する法律案,衆議院で審議中,大河原　まさこ君外五名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105003.htm
49,衆法,211,4,副首都機能の整備の推進に関する法律案,衆議院で審議中,中司　宏君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105004.htm
50,衆法,211,5,低所得である子育て世帯に対する緊急の支援に関する法律案,衆議院で審議中,中谷　一馬君外十一名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105005.htm
51,衆法,211,7,特定教育・保育施設における保育教諭等の配置の充実のための措置に関する法律案,衆議院で審議中,浦野　靖人君外九名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105007.htm
52,衆法,211,8,短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律等の一部を改正する法律案,衆議院で審議中,西村　智奈美君外十名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105008.htm
53,衆法,211,9,発電に関する原子力の利用に係る責任を明確化するための改革の推進に関する法律案,衆議院で審議中,小野　泰輔君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105009.htm
54,衆法,211,10,電力の取引における公正な競争の促進に関する法律案,衆議院で審議中,小野　泰輔君外二名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105010.htm
55,衆法,211,11,学校給食法の一部を改正する法律案,衆議院で審議中,菊田　真紀子君外九名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105011.htm
56,衆法,211,15,児童虐待の防止等に関する法律の一部を改正する法律案,衆議院で審議中,菊田　真紀子君外十一名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105015.htm
57,衆法,211,22,公立学校働き方改革の推進に関する法律案,衆議院で審議中,城井　崇君外十名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105022.htm
58,衆法,211,23,インターネット投票の導入の推進に関する法律案,衆議院で審議中,落合　貴之君外十四名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105023.htm
59,衆法,211,27,国会議員の秘書の給与等に関する法律の一部を改正する法律案,衆議院で審議中,守島　正君外三名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105027.htm
60,衆法,211,28,国家公務員法の一部を改正する法律案,衆議院で審議中,守島　正君外十四名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105028.htm
61,衆法,211,29,消費税の逆進性を緩和するための給付付き税額控除の導入等に関する法律案,衆議院で審議中,階　猛君外八名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105029.htm
62,衆法,211,30,持続可能な開発の目標の達成に向けた諸施策の総合的かつ一体的な推進に関する法律案,衆議院で審議中,櫻井　周君外五名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105030.htm
63,衆法,211,31,公文書等の管理に関する法律の一部を改正する法律案,衆議院で審議中,源馬　謙太郎君外十五名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105031.htm
64,衆法,211,32,公文書等の管理の適正化の推進に関する法律案,衆議院で審議中,源馬　謙太郎君外十五名,立憲民主党・無所属; 日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105032.htm
65,衆法,211,33,新型コロナウイルス感染症の罹患後症状に係る対策の推進に関する法律案,衆議院で審議中,小川　淳也君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105033.htm
66,衆法,211,34,新型コロナウイルス感染症に係る予防接種による健康被害の救済等に係る措置に関する法律案,衆議院で審議中,早稲田　ゆき君外九名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105034.htm
67,衆法,211,35,宗教法人法の一部を改正する法律案,衆議院で審議中,堀場　幸子君外三名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105035.htm
68,衆法,211,36,一般社団法人及び一般財団法人に関する法律の一部を改正する法律案,衆議院で審議中,堀場　幸子君外三名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105036.htm
69,衆法,211,37,公益法人等に対する寄附を促進するための税制上の措置等に関する法律案,衆議院で審議中,住吉　寛紀君外三名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105037.htm
70,衆法,211,38,財政法の一部を改正する法律案,衆議院で審議中,階　猛君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105038.htm
71,衆法,211,39,我が国の経済及び財政等に関する将来の推計を信頼性のある統計等の情報に基づき中立公正に実施するための経済財政等将来推計委員会の設置に関する法律案,衆議院で審議中,階　猛君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105039.htm
72,衆法,211,40,国会法の一部を改正する法律案,衆議院で審議中,階　猛君外六名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105040.htm
73,衆法,211,41,保護者等による自動車内への子ども等の置き去りの防止に関する法律案,衆議院で審議中,吉田　統彦君外十一名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105041.htm
74,衆法,211,42,国家公務員法等の一部を改正する法律案,衆議院で審議中,大島　敦君外十六名,立憲民主党・無所属; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105042.htm
75,衆法,211,43,国家公務員の労働関係に関する法律案,衆議院で審議中,大島　敦君外十六名,立憲民主党・無所属; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105043.htm
76,衆法,211,44,公務員庁設置法案,衆議院で審議中,大島　敦君外十六名,立憲民主党・無所属; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105044.htm
77,衆法,211,45,地方公務員法等の一部を改正する法律案,衆議院で審議中,大島　敦君外十六名,立憲民主党・無所属; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105045.htm
78,衆法,211,46,地方公務員の労働関係に関する法律案,衆議院で審議中,大島　敦君外十六名,立憲民主党・無所属; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105046.htm
79,衆法,211,47,我が国の総合的な安全保障の確保を図るための土地等の取得、利用及び管理の規制に関する施策の推進に関する法律案,衆議院で審議中,青柳　仁士君外三名,日本維新の会; 国民民主党・無所属クラブ,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105047.htm
80,衆法,211,48,国会法の一部を改正する法律案,衆議院で審議中,古川　元久君外五名,日本維新の会; 国民民主党・無所属クラブ; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105048.htm
81,衆法,211,49,新型コロナウイルス感染症対策検証委員会法案,衆議院で審議中,古川　元久君外四名,日本維新の会; 国民民主党・無所属クラブ; 有志の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105049.htm
82,衆法,211,50,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で審議中,中司　宏君外三名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21105050.htm
83,衆法,212,2,国会議員の秘書の給与等に関する法律の一部を改正する法律案,衆議院で審議中,中司　宏君外一名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21205002.htm
84,衆法,212,3,地方自治法の一部を改正する法律案,衆議院で審議中,中司　宏君外一名,日本維新の会,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21205003.htm
85,衆法,212,5,行政手続における特定の個人を識別するための番号の利用等に関する法律等の一部を改正する法律の一部を改正する法律案,衆議院で審議中,早稲田　ゆき君外十名,立憲民主党・無所属,,,,,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21205005.htm
